timestep,env_idx,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5
0,0,0.0021538354922086,0.0368892140686512,1.7745423316955566,0.012906061485409737,1.5725234746932983,0.0005669031525030732
1,0,0.0039636483415961266,0.06493483483791351,1.7696506977081299,-0.03761296346783638,1.5769507884979248,0.0005556090036407113
2,0,0.0066515421494841576,0.09414201974868774,1.7629324197769165,-0.08375601470470428,1.582896113395691,0.0005806529661640525
3,0,0.010110855102539062,0.12192743271589279,1.754701852798462,-0.12315032631158829,1.5899955034255981,0.0006065416382625699
4,0,0.014242743141949177,0.14772412180900574,1.7452176809310913,-0.15736684203147888,1.5980368852615356,0.0006217248737812042
5,0,0.018396053463220596,0.278313547372818,1.7370189428329468,-0.07422369718551636,1.6043570041656494,0.0006264280527830124
6,0,0.02240351215004921,0.3683961033821106,1.730117678642273,-0.06581863015890121,1.609419345855713,0.0005908855819143355
7,0,0.0257528405636549,0.042023204267024994,1.7243051528930664,-0.2465125322341919,1.6143887042999268,0.0012712109601125121
8,0,0.028915686532855034,0.11896925419569016,1.7190769910812378,-0.0987989604473114,1.618410587310791,0.002126499777659774
9,0,0.03152288869023323,0.01903368905186653,1.7149276733398438,-0.1326744705438614,1.6222193241119385,0.0003057330031879246
10,0,0.034027718007564545,0.06213544309139252,1.7112982273101807,-0.09438252449035645,1.625454306602478,0.0016210867324844003
11,0,0.03605133295059204,-0.0019971365109086037,1.708541989326477,-0.09857237339019775,1.6285146474838257,0.0004104222753085196
12,0,0.03801143169403076,0.0388796404004097,1.7061903476715088,-0.064818374812603,1.6311113834381104,0.001339887734502554
13,0,0.039605651050806046,-0.01973772421479225,1.7043741941452026,-0.08982007205486298,1.6336963176727295,0.0006010017823427916
14,0,0.04114164412021637,0.01312799472361803,1.7028470039367676,-0.05721200257539749,1.6358975172042847,0.0015435144305229187
15,0,0.042355895042419434,-0.027619626373052597,1.7017258405685425,-0.05209759622812271,1.6379673480987549,0.0007041273056529462
16,0,0.04356019198894501,-0.01751358062028885,1.7008368968963623,-0.05828758701682091,1.6397509574890137,0.0016000079922378063
17,0,0.04449852183461189,-0.03299921378493309,1.7002474069595337,-0.042175762355327606,1.6415011882781982,0.0007270574569702148
18,0,0.04540611803531647,-0.031223172321915627,1.699946641921997,-0.05861862748861313,1.643044352531433,0.0012093143304809928
19,0,0.04614321142435074,-0.03037833794951439,1.6997543573379517,-0.023918872699141502,1.6444356441497803,0.0005641040042974055
20,0,0.04683958739042282,-0.04068410396575928,1.6997216939926147,-0.05133712291717529,1.6457273960113525,0.0009855475509539247
21,0,0.047414615750312805,-0.027834177017211914,1.6996961832046509,-0.015609930269420147,1.6468801498413086,0.0006958345766179264
22,0,0.047940224409103394,-0.04608571529388428,1.6997936964035034,-0.037811897695064545,1.6479967832565308,0.0009469860815443099
23,0,0.04838348552584648,-0.03145502880215645,1.6999142169952393,-0.018432943150401115,1.6490368843078613,0.0008198453579097986
24,0,0.048759277909994125,-0.043361444026231766,1.700094223022461,-0.027970297262072563,1.6500368118286133,0.0007689567864872515
25,0,0.049081239849328995,-0.036487214267253876,1.7002922296524048,-0.026526590809226036,1.650960922241211,0.0008883348200470209
26,0,0.04933615028858185,-0.0420931838452816,1.700512170791626,-0.018979843705892563,1.6518245935440063,0.0008240705938078463
27,0,0.049547966569662094,-0.04059765860438347,1.7007651329040527,-0.018894925713539124,1.6526269912719727,0.0007901062490418553
28,0,0.0497211217880249,-0.042273394763469696,1.7010287046432495,-0.01645389385521412,1.653374433517456,0.0008253123378381133
29,0,0.04985686391592026,-0.04307296499609947,1.7013309001922607,-0.013290226459503174,1.6540827751159668,0.0007750130025669932
30,0,0.049966875463724136,-0.04339276999235153,1.7016477584838867,-0.012350043281912804,1.6547523736953735,0.0007955975597724319
31,0,0.05005234479904175,-0.044553857296705246,1.7019929885864258,-0.01012042723596096,1.6553964614868164,0.0007713705999776721
32,0,0.05012024939060211,-0.04459927976131439,1.7023543119430542,-0.009485662914812565,1.656017541885376,0.000772723404224962
33,0,0.050172772258520126,-0.045603565871715546,1.7027374505996704,-0.00823271181434393,1.656622052192688,0.0007579712546430528
34,0,0.05021395906805992,-0.04572547599673271,1.7031358480453491,-0.007583813741803169,1.657212257385254,0.0007599839009344578
35,0,0.05024579167366028,-0.046378832310438156,1.7035504579544067,-0.006615811493247747,1.6577930450439453,0.0007478430634364486
36,0,0.05027167126536369,-0.04619700834155083,1.7039756774902344,-0.005775373429059982,1.6583665609359741,0.0007546211127191782
37,0,0.050292499363422394,-0.046608805656433105,1.7044137716293335,-0.005683280527591705,1.6589373350143433,0.0006899751024320722
38,0,0.05031159520149231,-0.04755375161767006,1.7048563957214355,-0.001387659809552133,1.65950608253479,0.0007504000677727163
39,0,0.050336919724941254,-0.04753118380904198,1.7053126096725464,-0.0014056505169719458,1.6600768566131592,0.0008426597341895103
40,0,0.05037304013967514,-0.04769888520240784,1.7057814598083496,-0.0017787173856049776,1.6606568098068237,0.0009000707068480551
41,0,0.05041665583848953,-0.0477822981774807,1.706257939338684,-0.0012411122443154454,1.6612530946731567,0.0008898530504666269
42,0,0.0504729300737381,-0.04770941659808159,1.7067362070083618,-0.0018701744265854359,1.6618608236312866,0.0009185494855046272
43,0,0.05053936690092087,-0.04786391928792,1.7072168588638306,-0.0016785848420113325,1.6624820232391357,0.0009106723591685295
44,0,0.05061716213822365,-0.047911737114191055,1.7076982259750366,-0.0018668787088245153,1.6631152629852295,0.0009138259338214993
45,0,0.05070618912577629,-0.04802793636918068,1.708180546760559,-0.0018790991744026542,1.6637600660324097,0.0009104355121962726
46,0,0.050806500017642975,-0.0479142852127552,1.7086652517318726,-0.00198988220654428,1.664416790008545,0.0009061475284397602
47,0,0.050917886197566986,-0.048392441123723984,1.7091506719589233,-0.0020114989019930363,1.6650841236114502,0.0008988329791463912
48,0,0.05104079842567444,-0.04825419560074806,1.7096372842788696,-0.0021534215193241835,1.66576087474823,0.0008982725557871163
49,0,0.05117471516132355,-0.04815337434411049,1.7101256847381592,-0.0021509588696062565,1.6664472818374634,0.0008993962546810508
50,0,0.05131959170103073,-0.04821605980396271,1.7106151580810547,-0.0021438435651361942,1.6671425104141235,0.0008912907796911895
51,0,0.05147561430931091,-0.0482180155813694,1.7111042737960815,-0.0022165575064718723,1.6678463220596313,0.0008832159219309688
52,0,0.05164231359958649,-0.04863474518060684,1.7115908861160278,-0.0019988780841231346,1.6685583591461182,0.0008753848378546536
53,0,0.05182023346424103,-0.048370543867349625,1.712083101272583,-0.0024260166101157665,1.6692785024642944,0.0008661724277772009
54,0,0.052009135484695435,-0.04769240319728851,1.712568998336792,-0.0022117849439382553,1.67000412940979,0.0008899148087948561
55,0,0.052207108587026596,-0.04883185774087906,1.7130584716796875,-0.0018438283586874604,1.6707392930984497,0.000852922850754112
56,0,0.05241747200489044,-0.04803866520524025,1.7135424613952637,-0.0023919905070215464,1.671478509902954,0.0008738738251850009
57,0,0.052636660635471344,-0.0489962100982666,1.714027762413025,-0.0018121479079127312,1.672225832939148,0.0008486381848342717
58,0,0.052867405116558075,-0.047498609870672226,1.714511513710022,-0.002433407586067915,1.6729776859283447,0.0008622743771411479
